,From,To,Value,Year
0,Norway , Germany,199.0,2020
1,Germany , Belgium,297.0,2020
2,Sweden , Germany,2500.0,2020
3,Czech Republic , Poland,3100.0,2020
4,Denmark , Netherlands,2400.0,2020
5,Sweden , Poland,3900.0,2020
6,Germany , Poland,3500.0,2020
7,Germany , Luxembourg,4000.0,2020
8,Norway , Netherlands,4700.0,2020
9,Austria , Czech Republic,3500.0,2020
10,Austria , Switzerland,4900.0,2020
11,Netherlands , Belgium,5800.0,2020
12,Norway , Denmark,8500.0,2020
13,France , Belgium,5900.0,2020
14,Sweden , Denmark,8300.0,2020
15,Netherlands , Germany,6900.0,2020
16,Germany , Czech Republic,8500.0,2020
17,Denmark , Germany,10500.0,2020
18,Switzerland , Germany,8500.0,2020
19,Norway , Sweden,14000.0,2020
20,Germany , France,12700.0,2020
21,Germany , Austria,21400.0,2020
22,France , Switzerland,19300.0,2020
0,Germany , Norway,37.0,2020
1,Belgium , Germany,154.0,2020
2,Germany , Sweden,399.0,2020
3,Poland , Czech Republic,246.0,2020
4,Netherlands , Denmark,1300.0,2020
5,Poland , Sweden,58.0,2020
6,Poland , Germany,619.0,2020
7,Luxembourg , Germany,193.0,2020
8,Netherlands , Norway,161.0,2020
9,Czech Republic , Austria,3300.0,2020
10,Switzerland , Austria,2700.0,2020
11,Belgium , Netherlands,3300.0,2020
12,Denmark , Norway,894.0,2020
13,Belgium , France,3800.0,2020
14,Denmark , Sweden,2500.0,2020
15,Germany , Netherlands,5300.0,2020
16,Czech Republic , Germany,4700.0,2020
17,Germany , Denmark,3600.0,2020
18,Germany , Switzerland,7100.0,2020
19,Sweden , Norway,3000.0,2020
20,France , Germany,11100.0,2020
21,Austria , Germany,2900.0,2020
22,Switzerland , France,5200.0,2020
